File;Step;Nome;Emotion;pitAve;pitDir;pitDyn;pitJit;intAve;intDyn;intJit;spcSlo;spcJit
03a01Fa;Unique;1;Hap;7.843;0.069;47.044;225.261;70.152;123.866;124.783;-24.761;291.425
03a01Fa;Unique;1;Hap;7.843;0.069;47.044;225.261;70.152;123.866;124.783;-24.761;291.425
03a01Nc;Unique;2;Neu;3.106;-1.481;34.479;81.602;77.124;119.133;135.310;-23.003;279.199
03a01Nc;Unique;2;Neu;3.106;-1.481;34.479;81.602;77.124;119.133;135.310;-23.003;279.199
03a01Wa;Unique;3;Ang;11.538;-0.748;39.850;239.541;74.989;119.830;125.678;-11.895;236.128
03a02Fc;Unique;4;Hap;14.277;0.144;40.608;49.205;74.946;139.700;116.640;-21.835;260.228
03a02Fc;Unique;4;Hap;14.277;0.144;40.608;49.205;74.946;139.700;116.640;-21.835;260.228
03a02Nc;Unique;5;Neu;2.779;-0.088;36.414;35.817;78.388;136.579;98.402;-23.546;228.249
03a02Nc;Unique;5;Neu;2.779;-0.088;36.414;35.817;78.388;136.579;98.402;-23.546;228.249
03a02Ta;Unique;6;Sad;0.952;-0.552;32.832;49.909;78.794;68.814;84.168;-26.579;231.741
03a02Ta;Unique;6;Sad;0.952;-0.552;32.832;49.909;78.794;68.814;84.168;-26.579;231.741
03a02Wb;Unique;7;Ang;10.099;0.255;53.830;255.318;71.987;122.662;126.559;-14.212;199.145
03a02Wc;Unique;8;Ang;14.640;-0.849;55.092;304.520;70.945;147.799;187.774;-7.266;225.950
03a04Ad;Unique;9;Fea;14.507;-2.025;62.848;312.140;75.534;138.105;161.663;-17.021;320.762
03a04Ad;Unique;9;Fea;14.507;-2.025;62.848;312.140;75.534;138.105;161.663;-17.021;320.762
03a04Fd;Unique;10;Hap;10.980;-1.137;46.569;34.599;72.555;102.452;138.891;-19.524;353.262
03a04Fd;Unique;10;Hap;10.980;-1.137;46.569;34.599;72.555;102.452;138.891;-19.524;353.262
03a04Lc;Unique;11;Bor;1.092;-0.188;24.335;128.274;74.766;64.655;49.598;-20.210;140.245
03a04Lc;Unique;11;Bor;1.092;-0.188;24.335;128.274;74.766;64.655;49.598;-20.210;140.245
03a04Nc;Unique;12;Neu;1.666;-0.263;40.141;45.790;74.118;147.766;132.240;-18.446;345.596
03a04Nc;Unique;12;Neu;1.666;-0.263;40.141;45.790;74.118;147.766;132.240;-18.446;345.596
03a04Ta;Unique;13;Sad;-1.136;-0.789;30.915;45.678;77.867;55.959;46.787;-21.876;268.835
03a04Ta;Unique;13;Sad;-1.136;-0.789;30.915;45.678;77.867;55.959;46.787;-21.876;268.835
03a04Wc;Unique;14;Ang;15.530;-0.337;49.928;241.626;74.898;139.191;167.740;-10.842;260.153
03a05Aa;Unique;15;Fea;14.007;-0.706;85.523;363.118;75.201;193.033;187.700;-19.254;309.652
03a05Aa;Unique;15;Fea;14.007;-0.706;85.523;363.118;75.201;193.033;187.700;-19.254;309.652
03a05Fc;Unique;16;Hap;11.662;-1.508;50.947;324.113;75.728;161.582;138.468;-23.989;312.993
03a05Fc;Unique;16;Hap;11.662;-1.508;50.947;324.113;75.728;161.582;138.468;-23.989;312.993
03a05Nd;Unique;17;Neu;3.480;-0.702;46.805;86.754;77.140;158.367;128.839;-25.468;326.156
03a05Nd;Unique;17;Neu;3.480;-0.702;46.805;86.754;77.140;158.367;128.839;-25.468;326.156
03a05Tc;Unique;18;Sad;0.329;-0.502;44.231;65.730;77.487;114.261;108.254;-29.039;393.742
03a05Tc;Unique;18;Sad;0.329;-0.502;44.231;65.730;77.487;114.261;108.254;-29.039;393.742
03a05Wa;Unique;19;Ang;11.195;0.835;48.116;504.413;73.774;146.226;168.905;-17.978;272.416
03a05Wb;Unique;20;Ang;16.536;0.858;70.195;161.294;73.372;207.033;241.235;-14.027;363.438
03a07Fa;Unique;21;Hap;12.611;-0.145;62.508;317.784;75.179;135.517;108.304;-21.454;238.691
03a07Fa;Unique;21;Hap;12.611;-0.145;62.508;317.784;75.179;135.517;108.304;-21.454;238.691
03a07Fb;Unique;22;Hap;14.623;-1.057;57.737;388.692;75.233;119.064;95.630;-19.617;234.902
03a07Fb;Unique;22;Hap;14.623;-1.057;57.737;388.692;75.233;119.064;95.630;-19.617;234.902
03a07La;Unique;23;Bor;1.432;-0.344;23.690;108.558;77.920;56.908;57.056;-25.596;209.712
03a07La;Unique;23;Bor;1.432;-0.344;23.690;108.558;77.920;56.908;57.056;-25.596;209.712
03a07Nc;Unique;24;Neu;3.276;-0.687;35.285;101.081;79.411;144.602;117.484;-23.906;249.428
03a07Nc;Unique;24;Neu;3.276;-0.687;35.285;101.081;79.411;144.602;117.484;-23.906;249.428
03a07Wc;Unique;25;Ang;16.496;-0.975;46.422;188.301;74.333;185.125;163.336;-12.492;237.723
03b01Fa;Unique;26;Hap;12.808;-0.769;52.155;319.730;77.681;140.706;136.866;-23.271;311.848
03b01Fa;Unique;26;Hap;12.808;-0.769;52.155;319.730;77.681;140.706;136.866;-23.271;311.848
03b01Lb;Unique;27;Bor;3.839;-1.504;31.563;33.359;78.360;115.442;106.504;-22.938;218.530
03b01Lb;Unique;27;Bor;3.839;-1.504;31.563;33.359;78.360;115.442;106.504;-22.938;218.530
03b01Nb;Unique;28;Neu;2.230;-0.798;46.512;59.551;76.028;154.923;121.293;-25.260;333.846
03b01Nb;Unique;28;Neu;2.230;-0.798;46.512;59.551;76.028;154.923;121.293;-25.260;333.846
03b01Td;Unique;29;Sad;4.013;-1.153;85.785;138.491;76.515;69.524;93.170;-27.801;274.080
03b01Td;Unique;29;Sad;4.013;-1.153;85.785;138.491;76.515;69.524;93.170;-27.801;274.080
03b01Wa;Unique;30;Ang;10.635;-1.568;56.776;102.845;73.086;184.093;168.779;-14.414;273.159
03b01Wc;Unique;31;Ang;10.585;-2.063;36.779;75.888;72.709;114.765;119.661;-16.465;234.538
03b02Aa;Unique;32;Fea;11.493;0.168;66.550;260.711;78.323;119.867;115.575;-20.352;214.714
03b02Aa;Unique;32;Fea;11.493;0.168;66.550;260.711;78.323;119.867;115.575;-20.352;214.714
03b02La;Unique;33;Bor;1.687;-0.056;30.206;36.641;75.625;104.247;75.807;-21.806;174.330
03b02La;Unique;33;Bor;1.687;-0.056;30.206;36.641;75.625;104.247;75.807;-21.806;174.330
03b02Na;Unique;34;Neu;1.629;-0.893;32.259;31.992;77.326;98.060;71.048;-20.969;167.387
